ID,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO_TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO_APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
81,1,15,2,0,0,0,0,0,0,3774,0,2,3,0,1,0,0,0,4,1,1,54,0,0,1,1,2,2,1,0,1
82,3,8,4,0,0,0,0,0,0,9999999,4,3,3,0,0,0,0,0,1,0,0,29,1,0,1,1,2,1,0,0,1
83,0,20,1,0,0,0,0,1,0,2394,0,2,3,0,1,0,0,0,4,0,0,17,1,0,0,1,2,1,1,0,0
84,1,14,2,0,1,0,0,,0,1603,4,2,2,0,1,0,0,1,1,0,0,23,0,0,1,1,2,1,1,0,1
85,1,34,1,0,1,0,0,0,1,8957,2,2,3,0,1,0,0,0,4,0,1,37,0,0,0,1,3,1,0,0,1
86,3,13,4,1,1,0,1,1,0,5929,0,2,3,0,0,0,0,0,2,1,0,25,0,0,1,1,2,1,0,0,0
87,0,25,2,0,0,1,1,0,0,7212,0,2,3,0,0,1,0,0,4,0,0,52,0,1,0,1,2,1,0,0,1
88,2,8,2,0,0,0,0,0,0,2237,0,3,3,0,1,0,0,0,3,0,0,39,0,0,1,1,2,1,0,0,1
89,3,22,4,0,1,1,0,0,0,9999999,0,2,4,0,1,0,0,0,2,0,0,25,1,0,1,1,2,1,0,0,1
90,3,40,1,0,0,0,0,0,0,1836,0,2,1,0,0,0,0,0,2,0,0,42,0,0,1,1,2,1,0,0,1
91,1,12,2,0,0,0,0,0,0,1356,0,2,1,0,0,1,0,0,1,1,0,32,0,0,1,1,1,1,0,0,1
92,3,39,2,1,1,0,0,0,0,3181,1,2,2,0,1,0,0,0,1,0,0,40,0,0,1,2,2,1,1,0,1
93,0,24,3,0,0,0,0,0,0,10602,0,4,0,0,1,0,0,0,4,0,0,36,1,0,1,1,,1,0,0,1
94,0,25,4,0,0,0,0,0,0,13955,1,2,2,0,1,0,0,0,4,0,0,28,0,0,1,1,2,1,1,0,1
95,3,9,2,1,0,0,1,0,0,946,0,2,3,0,0,1,0,0,1,1,0,29,0,0,1,1,1,1,0,0,1
96,1,17,2,0,0,1,0,0,1,2246,0,2,3,0,0,0,0,0,2,0,0,22,0,0,1,2,2,1,0,0,1
97,0,44,1,0,1,0,0,0,0,3352,0,4,3,0,1,0,0,0,2,0,1,45,0,0,0,1,2,1,1,0,1
98,1,35,2,1,0,0,0,0,0,1390,1,3,2,0,1,0,0,0,2,0,0,24,0,0,0,1,1,2,0,0,0
99,1,38,2,0,1,1,0,0,0,8960,4,2,3,0,1,0,0,0,4,0,0,25,1,0,1,1,3,2,1,0,0
100,3,39,4,0,1,0,0,0,0,1085,4,0,1,0,1,0,1,0,4,0,0,47,1,0,1,1,3,1,0,0,1
101,3,20,3,0,1,0,1,0,0,3389,2,3,3,0,1,0,0,0,2,0,0,32,0,1,1,2,2,1,0,0,0
102,0,53,4,1,0,0,0,0,0,3591,0,2,3,0,0,0,0,1,4,0,0,18,1,0,0,1,2,1,0,0,0
103,3,18,2,0,0,1,0,0,0,1011,0,1,1,1,0,1,0,0,1,0,0,21,0,0,0,1,2,1,0,0,1
104,3,21,2,0,0,1,0,0,0,4320,0,1,4,0,0,0,0,0,2,0,0,67,0,0,0,1,2,1,1,0,0
105,0,23,2,0,0,1,0,0,0,1641,0,1,1,0,0,0,0,0,4,1,0,21,0,1,0,1,2,1,0,0,0
106,0,4,4,1,0,0,0,0,0,1116,4,3,0,0,1,0,0,0,4,0,0,63,0,1,1,1,2,2,0,1,1
107,0,21,4,0,0,0,1,0,0,5004,4,4,3,1,1,1,0,0,2,0,0,48,0,0,1,1,3,1,1,0,0
108,3,10,2,0,0,1,0,0,0,3399,0,1,3,0,0,0,0,0,2,0,0,38,0,0,1,1,2,1,1,0,0
109,3,28,2,0,0,1,0,0,0,,4,1,1,0,0,0,0,0,3,0,0,26,1,0,0,2,2,1,0,0,0
110,3,38,2,0,0,0,1,0,0,651,0,2,1,0,1,0,0,0,4,0,0,47,0,0,1,3,2,2,1,0,1
111,1,15,2,0,0,0,0,0,0,973,4,1,1,0,1,0,0,0,3,0,0,19,0,1,1,1,1,1,0,0,0
112,3,13,2,1,0,0,0,1,0,5026,2,2,2,0,1,0,0,0,2,0,1,28,1,1,0,1,2,1,0,0,1
113,0,30,2,0,0,0,1,0,0,9999999,0,1,4,0,1,0,0,0,3,0,0,30,0,0,1,1,2,1,0,0,1
114,3,10,2,0,0,0,0,0,0,7925,0,1,0,0,0,0,0,0,1,0,1,25,0,0,1,1,2,1,1,0,0
115,0,44,2,0,0,0,0,0,0,983,4,0,3,0,1,0,0,0,2,0,0,26,0,0,1,1,2,1,0,0,1
116,3,21,2,1,1,0,0,1,0,4188,0,4,3,0,1,0,0,0,4,0,0,38,1,0,0,1,2,1,0,0,1
117,3,11,2,0,0,0,0,1,0,988,0,2,4,0,0,0,0,0,3,0,0,40,0,0,1,1,2,1,0,0,1
118,3,21,3,0,1,0,0,0,1,11438,0,0,3,0,1,0,0,0,2,0,0,31,0,0,1,2,3,1,1,0,1
119,1,23,2,0,0,0,0,0,0,6711,1,0,1,0,0,0,0,0,3,0,0,23,1,0,1,1,3,1,1,0,0
120,3,23,1,0,1,0,0,0,1,9999999,0,3,3,0,1,0,0,0,2,0,0,62,1,0,1,3,2,1,1,0,1
121,3,24,2,1,1,0,0,0,0,1380,0,2,3,0,0,0,0,0,4,0,0,20,0,0,1,1,2,1,1,0,1
122,1,11,2,0,0,0,1,0,0,1257,0,2,3,0,0,0,0,0,3,0,0,25,0,0,1,1,2,1,0,0,1
123,2,9,2,0,0,0,0,0,0,97,2,3,2,0,1,0,0,0,4,1,0,37,0,0,1,1,2,1,0,0,1
124,1,37,2,0,0,0,0,0,0,2768,0,3,3,0,1,0,0,0,2,0,0,44,0,0,1,1,3,1,0,0,1
125,3,4,4,0,0,0,1,0,0,1192,0,4,3,0,1,0,0,0,4,1,0,54,0,0,1,1,2,1,0,0,1
126,2,5,2,0,0,0,1,0,0,3539,3,2,2,0,0,0,0,0,2,1,0,34,0,0,1,3,1,1,1,0,1
127,2,13,2,0,0,0,0,0,0,3097,1,2,1,0,0,0,0,0,4,1,0,36,0,0,1,1,2,1,0,0,1
128,3,21,4,0,0,0,1,0,0,2531,0,1,3,0,0,1,0,0,2,1,0,23,0,1,0,1,2,1,0,0,1
129,3,22,4,0,0,1,1,0,0,1274,0,4,4,0,0,0,1,0,2,0,0,44,0,0,1,1,2,1,0,0,1
130,3,11,2,0,0,0,0,0,0,562,0,2,1,0,0,1,0,0,1,0,0,47,0,0,1,1,1,1,0,0,0
131,1,25,4,0,0,0,1,1,0,1368,2,0,3,0,0,0,0,0,4,0,0,28,0,0,1,1,3,1,0,0,1
132,0,28,2,1,0,0,0,0,0,4959,0,2,4,0,1,0,0,0,4,0,0,31,1,0,1,1,2,1,1,0,0
133,2,3,1,0,0,1,0,0,0,2946,0,4,4,0,1,0,0,0,4,0,0,31,0,0,1,1,2,1,1,0,1
134,3,23,4,0,0,0,0,0,1,2959,0,1,3,0,1,0,0,0,1,1,0,59,0,0,1,1,2,1,1,0,1
135,3,33,2,1,1,0,0,0,0,7513,2,3,1,0,0,0,0,0,2,0,1,49,0,0,0,1,2,1,1,0,1
136,1,45,3,1,1,0,0,0,0,6194,4,1,3,0,1,0,0,0,4,0,1,58,0,1,0,1,2,1,1,0,0
137,0,18,4,0,0,1,0,0,0,9626,0,0,1,0,1,1,0,0,1,0,0,25,1,0,0,2,2,2,0,0,1
138,1,14,4,0,0,1,0,0,0,1245,3,2,1,0,1,0,0,0,4,0,0,28,1,1,0,2,2,1,0,0,0
139,0,10,2,0,0,0,0,0,0,1698,4,2,1,0,0,0,0,0,1,0,0,21,0,1,1,1,1,1,0,0,1
140,0,14,3,1,0,0,1,0,0,1217,1,3,2,0,1,0,0,0,2,1,0,22,0,0,1,1,3,1,1,0,1
141,1,8,4,0,0,1,0,0,0,1511,0,2,3,0,1,0,0,0,1,1,0,28,0,0,1,1,2,1,0,0,1
142,0,13,3,0,0,0,0,0,0,8779,0,0,2,0,0,0,0,0,4,0,0,44,0,1,0,1,2,1,1,0,0
143,3,49,2,0,0,0,1,0,1,3721,0,2,3,0,0,0,0,1,1,1,0,23,0,0,1,2,1,1,0,0,1
144,0,43,3,1,0,0,0,0,0,16554,0,2,3,0,1,1,0,0,4,0,1,44,0,0,1,1,2,1,1,0,0
145,0,9,3,0,0,0,0,0,0,3147,0,3,1,0,0,0,0,0,3,0,0,45,0,0,0,1,1,2,0,0,1
146,1,11,2,0,0,0,1,0,1,2189,0,2,3,0,0,1,0,0,1,1,0,33,0,0,1,1,1,1,0,0,1
147,2,20,2,0,0,0,0,0,0,1272,2,2,1,0,0,1,0,0,4,0,0,34,0,0,1,1,3,1,0,0,1
148,3,41,2,0,0,0,0,0,0,7440,2,3,2,0,0,0,0,0,4,0,0,37,0,0,0,1,3,1,0,0,1
149,3,19,2,0,0,1,1,0,0,4888,3,0,3,0,0,0,0,0,2,0,1,37,1,0,1,1,2,1,0,0,0
150,3,22,4,1,0,0,0,0,0,1995,0,2,2,0,1,0,0,0,2,0,0,32,0,0,1,3,1,1,1,0,1
151,3,35,3,0,0,0,1,0,0,2689,4,2,2,0,1,0,0,0,4,0,0,38,1,0,0,1,2,2,1,0,1
152,3,16,2,0,0,0,0,0,0,1082,0,2,3,0,0,0,0,1,3,1,0,25,1,0,1,1,1,1,0,0,1
153,1,33,2,0,0,0,0,0,0,9999999,0,4,3,0,1,0,0,0,3,0,0,34,0,0,0,1,2,2,0,0,0
154,3,54,4,0,1,0,0,0,0,4778,0,2,4,0,1,0,0,0,4,0,0,72,0,0,1,1,3,2,1,0,1
155,3,17,2,1,0,1,0,0,0,1739,0,0,3,0,1,0,0,0,4,0,0,33,0,0,1,1,2,1,1,0,1
156,1,12,3,0,0,0,0,0,0,1929,0,3,1,0,1,0,0,0,1,1,0,46,1,0,1,1,2,1,1,0,1
157,3,15,4,0,0,0,0,0,0,2843,3,2,0,0,1,0,0,0,1,0,0,43,0,0,1,2,2,1,0,0,1
158,0,9,4,1,0,0,0,0,0,2866,0,2,3,1,1,0,0,0,4,0,1,55,1,0,0,1,2,2,1,0,1
159,0,21,2,0,1,1,0,0,1,1260,0,2,2,0,0,1,0,0,2,1,0,25,0,0,1,1,2,1,1,0,1
160,0,16,1,1,0,0,0,0,0,1640,2,2,3,0,0,0,0,1,4,0,0,28,0,0,0,1,2,1,0,0,0
161,0,10,4,1,0,0,0,0,0,2201,0,1,0,0,1,0,0,0,4,1,0,46,0,0,1,1,2,1,0,0,1
162,0,12,2,0,1,0,0,0,1,3770,0,1,0,0,0,1,0,0,3,0,0,19,0,1,0,1,1,1,0,0,0
163,3,8,4,1,0,0,1,0,0,204,3,2,2,0,0,0,0,0,3,1,0,56,0,0,1,3,1,1,0,0,1
164,0,32,4,1,0,0,0,0,0,1743,1,2,4,0,0,0,0,0,4,0,0,42,1,0,1,1,2,1,0,0,1
165,1,22,4,0,0,0,0,0,0,743,0,4,3,0,0,0,0,0,1,0,0,38,0,0,1,1,0,1,1,0,1
166,3,13,2,1,0,0,0,0,0,1175,0,4,3,0,1,0,0,0,4,1,0,35,0,0,1,1,2,1,0,0,1
167,1,39,2,0,0,1,0,1,1,7911,0,2,3,0,1,0,0,0,4,0,0,33,1,0,1,1,3,1,0,0,0
168,3,16,2,0,0,0,0,0,0,1135,4,4,1,0,0,0,0,0,1,1,0,46,0,0,1,1,2,1,0,0,1
169,3,34,4,0,0,0,0,0,0,3060,0,4,4,0,1,0,0,0,4,0,0,41,0,0,1,1,2,1,0,0,1
170,1,6,2,0,0,0,0,0,0,1174,0,4,2,0,1,0,0,0,4,1,0,42,0,0,1,1,2,1,0,0,1
171,3,9,4,0,0,0,1,0,0,2076,0,2,3,0,0,0,0,0,3,1,0,33,0,0,1,2,1,2,0,1,1
172,3,10,2,0,0,0,0,0,0,2592,0,1,0,0,1,0,0,0,3,1,0,22,1,0,1,1,2,1,0,0,0
173,0,16,2,0,0,0,1,0,0,10780,0,2,4,0,0,0,0,0,4,0,1,28,0,0,0,1,1,1,0,0,0
174,1,15,2,1,0,1,0,0,1,1064,0,2,2,0,0,0,0,0,4,1,0,18,0,0,0,1,0,1,0,1,1
175,1,20,2,0,0,0,0,1,0,1008,0,4,3,0,0,0,0,0,2,0,1,50,1,0,0,1,2,1,0,0,0
176,3,24,0,0,0,1,1,0,0,6951,0,1,2,0,0,0,0,0,2,1,0,50,0,0,1,1,2,1,0,0,1
177,0,24,2,0,1,0,0,0,0,2523,0,1,3,0,0,0,0,0,2,0,0,27,0,1,0,1,1,1,0,0,1
178,3,25,2,0,0,1,0,0,0,2390,4,1,3,0,0,0,0,0,4,0,0,21,0,0,1,1,2,1,1,0,0
179,0,23,4,0,0,0,0,0,0,5302,0,4,3,0,1,0,0,0,1,0,1,28,0,0,0,1,1,2,0,0,1
180,0,37,4,0,0,0,0,0,0,9657,0,3,3,0,0,0,0,0,3,1,0,38,0,0,0,1,2,1,0,0,0
181,3,24,3,0,0,0,0,0,1,3781,0,3,2,0,1,0,0,0,3,0,1,46,0,0,1,1,2,1,1,0,0
182,1,18,2,0,0,0,0,0,0,1016,2,2,3,0,0,1,0,0,2,0,0,27,0,0,1,1,2,1,0,0,0
183,0,8,2,0,0,0,0,1,0,5719,0,0,0,0,1,0,0,0,4,0,1,72,0,0,0,1,2,1,1,0,1
184,3,5,2,0,0,0,0,0,0,2873,1,1,3,0,0,0,0,0,2,0,0,28,0,0,0,2,2,2,1,0,1
185,1,21,3,0,0,0,0,0,0,5958,4,2,0,0,0,0,0,0,4,0,0,25,0,1,1,1,3,1,1,0,1
186,0,5,2,0,0,0,0,0,0,3056,1,2,0,0,0,0,0,1,4,1,0,21,0,1,1,1,2,1,0,0,1
187,3,18,4,0,0,0,1,0,0,3668,0,2,3,0,0,1,0,0,2,0,0,25,0,0,1,1,1,1,0,0,1
188,1,20,2,0,0,0,0,0,0,2707,4,2,2,0,1,0,0,0,4,0,0,43,0,0,1,1,2,2,0,0,1
189,2,22,4,1,0,0,0,0,0,14841,0,2,1,0,0,0,0,0,4,0,0,31,0,1,1,2,2,1,0,1,0
190,3,8,4,1,0,0,1,0,0,1413,0,4,3,0,1,0,0,0,4,1,0,32,1,0,1,1,2,1,0,0,1
191,1,23,4,0,0,0,1,0,0,1286,4,2,3,0,0,0,0,0,4,0,0,44,1,0,0,1,2,1,0,0,1
192,3,33,1,0,1,0,1,1,0,1053,4,3,2,0,0,1,0,0,3,0,0,46,1,0,0,1,2,1,0,0,1
193,1,14,4,0,0,0,1,0,0,2205,0,3,3,0,1,0,0,0,2,1,0,53,0,1,1,2,2,1,0,0,1
194,3,27,4,0,0,1,0,0,0,7115,0,1,2,1,1,0,0,0,3,0,0,32,0,0,1,1,2,1,1,0,1
195,2,13,4,0,0,0,0,0,0,5526,4,4,1,0,1,0,0,0,4,0,0,40,0,0,1,1,2,1,0,0,1
196,0,53,0,0,0,0,0,0,0,8017,1,2,3,0,1,0,0,0,4,0,0,29,0,1,0,1,2,1,0,0,0
197,2,14,4,0,0,0,1,0,0,1577,4,2,4,0,1,0,0,0,2,1,0,28,1,0,1,1,2,1,0,0,1
198,3,6,4,0,0,1,1,0,0,1110,0,2,3,0,0,0,0,0,1,0,0,34,0,0,1,1,1,1,0,0,1
199,0,45,1,1,0,0,0,0,0,1897,0,2,3,0,0,0,0,0,4,0,0,33,0,1,0,1,0,2,1,0,0
200,0,8,2,1,0,0,0,0,0,16395,1,4,1,0,1,0,0,0,2,0,0,24,0,0,0,1,3,1,0,0,0
201,3,4,3,1,0,0,0,0,0,1571,0,2,2,0,0,0,0,1,3,1,0,43,0,0,1,1,2,1,0,0,1
202,1,19,2,0,0,0,0,0,0,2689,0,0,3,0,0,0,0,0,4,0,0,25,0,0,1,3,3,2,1,0,1
203,0,26,0,0,0,0,0,0,1,4626,1,3,3,0,1,0,0,0,4,0,0,21,0,0,1,1,2,1,1,0,1
204,1,22,3,0,0,0,0,0,0,4531,4,0,1,0,1,0,0,0,2,0,1,46,0,0,1,1,3,1,1,0,1
205,0,33,2,0,0,0,0,0,1,1650,0,1,1,0,0,1,0,0,2,0,0,22,0,0,1,1,2,1,1,0,1
206,1,42,3,0,0,0,0,0,0,1041,0,2,2,0,1,0,0,0,3,1,0,33,0,0,1,2,2,1,0,0,1
207,1,63,2,0,0,0,0,0,1,6181,0,0,1,0,0,0,0,0,4,0,0,40,0,0,0,1,3,2,1,0,0
